kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C08385	MNXM31868		cpd05297		(10S)-Nonacosan-10-ol||Ginnol	
C08386	MNXM64854		cpd05298		Nonacosan-10-one||Ginnone	
C08387	MNXM65274		cpd05299	CPD-7872	Octacosan-1-ol||1-Octacosanol||Octacosanol	
C08388	MNXM725163		cpd05300	CPD-7946	Pentadecane||n-Pentadecane	
C08389	MNXM725338		cpd05301	CPD-9305	Propanethial S-oxide||Thiopropanal S-oxide	
C08390	MNXM78186		cpd05302	CPD-21129	Propane-1-thiol||Propanethiol||Propyl mercaptan	
C08391	MNXM78188		cpd05303		Propane-2-thiol||2-Propanethiol||Isopropyl mercaptan	
C08393	MNXM725827		cpd05305	CPD-7950	Tritriacontane||n-Tritriacontane	
C08394	MNXM1372504				Tritriacontane-16,18-dione||N-Tritriacontane-16,18-dione	
C08395	MNXM40386		cpd05307		Aethusin||2,8,10-Tridecatriene-4,6-diyne	
C08396	MNXM42021		cpd05308		Anacyclin||(2E,4E)-N-(2-Methylpropyl)-2,4-tetradecadiene-8,10-diynamide	
C08397	MNXM37952		cpd05309		5-(3-Buten-1-ynyl)-2,2'-bithiophene||5-(3-Buten-1-ynyl)-2,2'-bithienyl	
C08398	MNXM45431		cpd05310		Capillin	
C08399	MNXM45675		cpd05311		Carlina oxide	
C08400	MNXM1371887				Glucoalyssin||5-Methylsulfinylpentyl glucosinolate	
C08401	MNXM1371027				Glucoberteroin||5-Methylthiopentyl glucosinolate	
C08402	MNXM46745		cpd05314		Cicutoxin	
C08403	MNXM1371370				Glucobrassicanapin||4-Pentenyl glucosinolate	
C08404	MNXM1370242		cpd05316		Glucocapparin||Methyl glucosinolate	
C08405	MNXM738077		cpd05317		Glucocheirolin||3-Methylsufonylpropyl glucosinolate	
C08406	MNXM738080		cpd05318		Glucocleomin||2-Hydroxy-2-methylbutyl glucosinolate	
C08407	MNXM738082		cpd05319		Glucocochlearin||1-Methylpropyl glucosinolate	
C08408	MNXM738083		cpd05320		Glucoconringiin||2-Hydroxy-2-methylpropyl glucosinolate	
C08409	MNXM1371281				Glucoerucin||4-Methylthiobutyl glucosinolate	
C08410	MNXM55132		cpd05322		Glucoerysolin||4-Methylsulfonylbutyl glucosinolate	
C08411	MNXM740883				Glucoiberin||3-Methylsulfinylpropyl glucosinolate	
C08412	MNXM1371927				Glucoiberverin||3-Methylthiopropyl glucosinolate	
C08413	MNXM1370244		cpd05325		Glucolepidiin||Ethyl glucosinolate	
C08414	MNXM1370246		cpd05326		Glucolimnanthin	
C08415	MNXM740888				Gluconapin||3-Butenylglucosinolate	
C08416	MNXM55145		cpd05328		Gluconapoleiferin||2-Hydroxy-4-pentenyl glucosinolate	
C08417	MNXM1371929		cpd05329		Gluconasturtiin||2-Phenylethyl glucosinolate	
C08418	MNXM1370248		cpd05330		Glucoputranjivin||1-Methylethyl glucosinolate	
C08419	MNXM1372111				Glucoraphanin||4-Methylsulfinylbutyl glucosinolate	
C08420	MNXM738092		cpd05332		Glucoraphenin||4-Methylsufinyl-3-butenyl glucosinolate	
C08422	MNXM1370918				4-Hydroxyglucobrassicin||4-Hydroxy-3-indolylmethylglucosinolate	
C08423	MNXM1104977				4-Methoxyglucobrassicin||4-Methoxy-3-indolylmethyl glucosinolate	
C08424	MNXM732207				Neoglucobrassicin||1-Methoxy-3-indolylmethyl glucosinolate	
C08425	MNXM731487		cpd05336		Progoitrin||2(R)-2-Hydroxy-3-butenyl glucosinolate||Glucorapiferin	
C08426	MNXM1112425		cpd05337		Sinalbin||p-Hydroxybenzyl glucosinolate	
C08427	MNXM727893				Sinigrin||2-Propenyl glucosinolate||Allylglucosinolate	
C08428	MNXM83040		cpd05339		(N-Sulfoindol-3-yl)methylglucosinolate	
C08429	MNXM47238		cpd05340		Clitidine 5'-phosphate||1,4-Dihydro-4-imino-1-(5-O-phosphono-beta-D-ribofuranosyl)-3-pyridinecarboxylic acid	
C08430	MNXM1369665				Convicine	
C08431	MNXM47644		cpd05342	CPD-10129	Cordycepin||3'-Deoxyadenosine	
C08432	MNXM57967		cpd05343		Isoguanosine||Crotonoside	
C08433	MNXM1369414				Amataine||Subssesiline	
C08434	MNXM14989		cpd05345	CPD-19180	6-Methylaminopurine||N6-Methyladenine	
C08438	MNXM1107235		cpd05348		alpha-Amanitin	
C08439	MNXM74845		cpd05349	CPD-25465	Phalloidin||Phalloidine	
C08440	MNXM739969		cpd05350		Phaseolotoxin||N5-[Amino(sulfoamino)phosphinyl]-L-ornithyl-L-alanyl-N6-(aminoiminomethyl)-L-lysine	
C08441	MNXM83588		cpd05351		Tentoxin	
C08443	MNXM741085		cpd05353		Victorin C	
C08445	MNXM48927		cpd05354		Dehydrofalcarinone	
C08446	MNXM48934		cpd05355		(E)-Dehydromatricaria ester||(E)-2-Decene-4,6,8-triynoic acid methyl ester||trans-Dehydromatricaria ester	
C08447	MNXM48942		cpd05356		Dehydrosafynol||(2R,11E)-11-Tridecene-3,5,7,9-tetrayne-1,2-diol	
C08448	MNXM52991		cpd05357		Eutypine||4-Hydroxy-3-(3-methyl-3-butene-1-ynyl)benzaldehyde	
C08449	MNXM726274		cpd05358		Falcarindiol	
C08450	MNXM739817		cpd05359		Falcarinol||Panaxynol	
C08451	MNXM737811		cpd05360		Falcarinone||(Z)-1,9-Heptadecadiene-4,6-diyn-3-one	
C08452	MNXM729648		cpd05361		Ichthyotherol||2H-Pyran-3-ol, tetrahydro-2-(1-nonene-3,5,7-triynyl)-, (2S-(2alpha(E),3beta))-	kegg(2)
C08453	MNXM59628		cpd05362		Lachnophyllum ester||(E)-2-Decene-4,6-diynoic acid methyl ester	
C08454	MNXM31474		cpd05363		(E,E,E)-N-(2-Methylpropyl)hexadeca-2,6,8-trien-10-ynamide||(2E,6E,8E)-N-Isobutyl-2,6,8-hexadecatriene-10-yneamide	
C08455	MNXM62731		cpd05364		Mycosinol||(2E)-2-Hexa-2,4-diynylidene-1,6-dioxaspiro(4.4)nona-3,7-dien-9-ol	
C08456	MNXM75005		cpd05365		Phenylheptatriyne||1-Phenylhepta-1,3,5-triyne	
C08457	MNXM32981		cpd05366		1-Phenyl-5-heptene-1,3-diyne||Benzene, 5-heptene-1,3-diynyl-	
C08458	MNXM740489		cpd05367		Safynol||(2R,3E,11E)-3,11-Tridecadiene-5,7,9-triyne-1,2-diol	
C08459	MNXM161290		cpd05368		Stearolic acid||9-Octadecynoic acid||9-Stearolic acid||Octadec-9-ynoic acid	
C08460	MNXM34321		cpd05369		alpha-Terthienyl||Terthiophene	
C08464	MNXM33017		cpd05373		1-Tridecene-3,5,7,9,11-pentayne||Tridec-1-ene-3,5,7,9,11-pentayne	
C08465	MNXM741112		cpd05374		Wyerone	
C08467	MNXM42806		cpd05376		Asimicin||Bullatacin	
C08468	MNXM40150		cpd05377		Acremoauxin A||2-(3-Indolyl)propanoylmannitol	
C08469	MNXM16153		cpd05378		Aristolochic acid||Aristolochic acid I	
C08470	MNXM44910		cpd05379		Bullatacinone	
C08471	MNXM46228		cpd05380		Chalcogran	
C08472	MNXM723614		cpd05381	CPD-23404	Avenanthramide A||5-Hydroxy-2-[(2E)-3-(4-hydroxyphenyl)prop-2-enamido]benzoate	
C08473	MNXM46729		cpd05382		Cibarian||beta-D-Glucopyranose, 1,6-bis(3-nitropropanoate)	
C08474	MNXM47669		cpd05383		Coronarian||alpha-D-Glucopyranose, 2,6-bis(3-nitropropanoate)	
C08475	MNXM47864		cpd05384		Cucumopine	
C08476	MNXM46266		cpd05385	CPD0-1272	Chelidonic acid||4-Oxo-4H-pyran-2,6-dicarboxylic acid	
C08477	MNXM50351		cpd05386		Dianthalexin||7-Hydroxy-2-phenyl-4H-3,1-benzoxazin-4-one	
C08478	MNXM50352		cpd05387		Dianthramine||2,2'-Iminobis(4-hydroxybenzoic acid)	
C08480	MNXM10363		cpd03373		6-Hydroxykynurenic acid	kegg(2)
C08481	MNXM4620		cpd05389	INDICAN	Indican||Indican, plant	
C08482	MNXM733661		cpd05390		Cucurbic acid	
C08483	MNXM33368		cpd05391		14-Dihydroxycornestin||Cornexistin	
C08484	MNXM52407		cpd05392		Epoxymurin-A	
C08485	MNXM34686		cpd05393		2-(4-Methoxyphenethyl)chromone	
C08486	MNXM724652		cpd05394		Ethyl (E,Z)-decadienoate||(2E,4Z)-2,4-Decadienoic acid ethyl ester||Ethyl trans-2,cis-4-decadienoate	
C08487	MNXM52799		cpd05395		Ethyl tiglate||(E)-2-Methyl-2-butenoic acid ethyl ester||Ethyl 2-methylbut-2-enoate	
C08488	MNXM54969		cpd05396		Giganin	
C08489	MNXM31922		cpd05397		(Z)-3,5-Hexadienyl butyrate	
C08490	MNXM58525		cpd05398		Jasmone||cis-Jasmone	
C08491	MNXM733252		cpd05399	CPD-734	(-)-Jasmonic acid||(-)-Jasmonate||Jasmonate||Jasmonic acid||{(1R,2R)-3-Oxo-2-[(Z)pent-2-enyl]cyclopent-2-enyl}acetic acid	
C08492	MNXM1108072		cpd05400	CIS-3-HEXENOL	3-Hexenol||(3Z)-3-Hexen-1-ol||(3Z)-Hex-3-en-1-ol||3-Hexen-1-ol||Leaf alcohol||cis-3-Hexen-1-ol	
C08493	MNXM7444		cpd05401	INDOLE-3-CARBOXALDEHYDE	Indole-3-carboxaldehyde||Indole-3-carbaldehyde	
C08494	MNXM738457		cpd05402		Isotan B	
C08495	MNXM58952		cpd05403		Karakin||Endecaphillin A||beta-D-Glucopyranose, 1,2,6-tris(3-nitropropanoate)	
C08496	MNXM60706		cpd05404		Lycomarasmine B||Lycomarasmine	
C08497	MNXM1369480		cpd05405	TRANS-2-HEXENAL	(E)-2-Hexenal||(2E)-Hexenal||Leaf aldehyde||trans-2-Hexenal	
C08498	MNXM724898		cpd05406		Lilac aldehyde	
C08499	MNXM7924		cpd05407	CPD-21295	Nona-2,6-dienal||(2E,6Z)-2,6-Nonadienal	
C08501	MNXM54321		cpd05408		gamma-Nonalactone||Dihydro-5-pentyl-2(3H)-furanone||delta-n-Amylbutyrolactone	
C08502	MNXM67632		cpd05409		Parasorbic acid	
C08503	MNXM76646		cpd05410		Pinolidoxin	
C08504	MNXM60901		cpd05411		Macrozamin	
C08505	MNXM79779		cpd05412		Purpureacin-1	
C08506	MNXM61676		cpd05413		Methoxybrassinin	
C08507	MNXM62225		cpd05414		Miserotoxin	
C08509	MNXM79791		cpd05416		Putaminoxin	
C08510	MNXM81186		cpd05417		Ruscopine	
C08511	MNXM1108514			CPD-19688	Tenuazonic acid||(5S,8S)-3-Acetyl-5-sec-butylpyrrolidine-2,4-dione	
C08512	MNXM80599		cpd05419		Ranunculin	
C08513	MNXM40086		cpd05420		Acetylcaranine||Belamarine	
C08514	MNXM36316		cpd05421		3-Acetylnerbowdine	
C08515	MNXM40540		cpd05422		Albomaculine	
C08516	MNXM735822		cpd05423		Amaryllisine	
C08517	MNXM1369416				Ambelline||(3alpha,11S)-1,2-Didehydro-3,7-dimethoxycrinan-11-ol	
C08518	MNXM43406		cpd05425		Belladine	
C08519	MNXM44852		cpd05426		Brunsvigine||(-)-Brunsvigine||3alpha-Pancracine	
C08520	MNXM103489		cpd05427		Candimine	
C08521	MNXM45477		cpd05428	CPD-19463	Caranine	
C08522	MNXM45667		cpd05429		Caribine	
C08523	MNXM45668		cpd05430		Carinatine	
C08524	MNXM1369588				Cavinine	
C08525	MNXM1369673				Crinamine||(3alpha,5alpha,11R,13beta,19alpha)-1, 2-Didehydro-3-methoxycrinan-11-ol	
C08526	MNXM11626		cpd05433	CPD-19430	Galanthamine||Galantamine	
C08527	MNXM1368638		cpd33747		Haemanthamine||(+)-Haemanthamine||(3beta,5alpha,11R,13beta,19alpha)-1,2-Didehydro-3-methoxycrinan-11-ol||Hemanthamine	
C08528	MNXM56534		cpd05435		Hippeastrine	
C08529	MNXM58905		cpd05436		Kalbreclasine	
C08530	MNXM60715		cpd05437		Lycorenine	
C08531	MNXM60716		cpd05438		Lycoricidine	
C08532	MNXM19118		cpd05439	CPD-19438	Lycorine	
C08533	MNXM107195		cpd05440		Narciclasine	
C08534	MNXM64269		cpd05441	CPD-19449	Narwedine||(-)-Narwedine||Galanthaminone	
C08535	MNXM67563		cpd05442		Pancratistatin	
C08536	MNXM78032		cpd05443		Pretazettine	
C08537	MNXM1371745			CPD-8658	Amaranthin	
C08538	MNXM732452		cpd05445	CPD-8651	Betalamic acid	
C08539	MNXM1371737			CPD-8653	Betanidin||(2S)-4-[2-[(2S)-2-Carboxy-2,3-dihydro-5,6-dihydroxy-1H-indol-1-yl]ethenyl]-2,3-dihydro-2,6-pyridinedicarboxylic acid	
C08540	MNXM1371651			CPD-8654	Betanin	
C08541	MNXM1369534				Bougainvillein-r-I||Bougainvillein-v	
C08542	MNXM1372464			CPD-8676	Celosianin II	
C08543	MNXM737501		cpd05450	CPD-8671	Dopaxanthin	
C08544	MNXM1372474			CPD-8655	Gomphrenin-I	
C08545	MNXM740636		cpd05452		Squamocin	
C08547	MNXM1370255				Gomphrenin-V	
C08548	MNXM738281		cpd05455		Humilixanthin	
C08549	MNXM1370321				Indicaxanthin	
C08550	MNXM1370335				Iresinin I	
C08551	MNXM1371653				Isobetanin	
C08552	MNXM1371042				Lampranthin II	
C08553	MNXM77127		cpd05460		PM-Toxin A||(4R,12R,20R,28R)-4,12,20,28-Tetrahydroxy-2,10,18,26-tritriacontanetetrone	
C08554	MNXM62209		cpd05461		Miraxanthin-I	
C08555	MNXM62210		cpd05462		Miraxanthin-II	
C08556	MNXM62211		cpd05463		Miraxanthin-III	
C08557	MNXM12268		cpd05464	CPD-8659	Miraxanthin-V	
C08558	MNXM741628		cpd05465	CPD-11510	Tuberonic acid glucoside||12-Hydroxyjasmonic acid 12-O-beta-D-glucoside	
C08559	MNXM1370582				Musca-aurin-I||Muscaaurin I	
C08560	MNXM62666		cpd05467		Musca-aurin-II||Muscaaurin II	
C08562	MNXM1370584				Musca-aurin-VII||Muscaaurin VII	
C08563	MNXM62668		cpd05470		Muscapurpurin	
C08564	MNXM1372223				Portulacaxanthin I	
C08565	MNXM739078		cpd05472	CPD-8670	Portulacaxanthin II	
C08566	MNXM77865		cpd05473		Portulacaxanthin III	
C08567	MNXM1372225				Prebetanin	
C08568	MNXM741102		cpd05475		Vulgaxanthin-I	
C08569	MNXM741104		cpd05476		Vulgaxanthin-II	
C08571	MNXM54336		cpd05478		gamma-Undecalactone||2(3H)-Furanone, 5-heptyldihydro-	
C08573	MNXM39906		cpd05480		Abyssinone VI	
C08574	MNXM1368492			CPD-7096	Apigeninidin	
C08575	MNXM1372574			CPD-15048	Aurantinidin	
C08576	MNXM732100		cpd05483	CPD-2982	Aureusidin	
C08577	MNXM738250		cpd05484	CPD-3001	Bracteatin	
C08578	MNXM736300		cpd05485	BUTEIN	Butein	
C08579	MNXM586	anxan	cpd05486	CPD1F-131	Antheraxanthin	
C08580	MNXM4475		cpd05487|cpd24923	CPD-7847	Astaxanthin||(3S,3'S)-3,3'-Dihydroxy-beta,beta-carotene-4,4'-dione||(3S,3'S)-Astaxanthin	seed(2)
C08581	MNXM43109		cpd05488		Azafrin	
C08582	MNXM1107697				Bixin||Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate	
C08583	MNXM3938		cpd05490	CPD-7851	Canthaxanthin	
C08584	MNXM734735		cpd05491	CAPSANTHIN	Capsanthin	
C08585	MNXM3556		cpd05492	CAPSORUBIN	Capsorubin	
C08586	MNXM737154		cpd05493	CPD1F-115	delta-Carotene	
C08587	MNXM31305		cpd05494		beta-Carotene 5,6-epoxide||5,6-Epoxy-beta,beta-carotene	
C08588	MNXM3952		cpd05495	CPD-8662	Crocetin||8,8'-Diapocarotene-8,8'-dioic acid	
C08589	MNXM1364604		cpd05496	CPD-8666	Crocin	
C08590	MNXM739741		cpd05497	CPD-5661	Zeinoxanthin||(3R,6'R)-beta,epsilon-Caroten-3-ol||3-Hydroxy-alpha-carotene	
C08591	MNXM729605		cpd05498	CPD-7409	beta-Cryptoxanthin	
C08592	MNXM3591	echin	cpd05499	CPD-7850	Echinenone||beta,beta-Caroten-4-one	
C08593	MNXM1371884		cpd05500		Eschscholtzxanthin	
C08594	MNXM737862		cpd05501		Flavoxanthin	
C08595	MNXM1369573				Capensinidin	
C08596	MNXM1363987		cpd05503|cpd32787	CPD-20679	Fucoxanthin	seed(2)
C08597	MNXM55966		cpd05504		Helenien||Xantofyl palmitate	
C08598	MNXM45730		cpd05505		Carthamone	
C08599	MNXM59676		cpd05506	CPD-7416	Lactucaxanthin	
C08600	MNXM82060		cpd05507		Silandrin	
C08601	MNXM1371524	lut	cpd05508	CPD1F-119	Lutein||Xanthophyll	
C08602	MNXM60519		cpd05509		Lutein 5,6-epoxide	
C08603	MNXM60719		cpd05510		Lycoxanthin	
C08604	MNXM1371015			CPD1F-766	Cyanidin 3-O-glucoside||Chrysanthemin||Cyanidin 3-O-beta-D-glucoside	
C08605	MNXM47053		cpd05512		Citroxanthin||Mutatochrome	
C08606	MNXM1371444		cpd05513|cpd26554	CPD1F-135	Neoxanthin||all-trans-Neoxanthin	seed(2)
C08607	MNXM4066		cpd05514	CPD-12930	Neurosporaxanthin||all-trans-Neurosporaxanthin	
C08608	MNXM727519		cpd05515	CPD-7971	Norbixin	
C08609	MNXM75265		cpd05516		Physalien||Zeaxanthin dipalmitate	
C08610	MNXM80871		cpd05517		Rhodoxanthin	
C08611	MNXM81160		cpd05518|cpd35156	CPD-21184	Rubixanthin	seed(2)
C08612	MNXM1368532			CPD-14999	Cyanidin 3-O-(6''-glucosyl-2''-xylosylgalactoside)||Cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside)	
C08613	MNXM4117		cpd05520	CPD-7953	Torulene	
C08614	MNXM738452	vioxan	cpd05521	CPD1F-133	Violaxanthin||all-trans-Violaxanthin	
C08615	MNXM4443		cpd05522	CPD-8250	alpha-Amyrin	
C08616	MNXM1077		cpd05523	CPD-6948	beta-Amyrin||beta-Amyrenol	
C08617	MNXM102858		cpd05524	CPD-25695	Asiatic acid	
C08618	MNXM736192		cpd05525	CPD-14491	Betulin	
C08620	MNXM1363888			CPD-15001|CYANIDIN-3-O-RHAMNOSYLGLUCOSIDE	Cyanidin 3-O-rutinoside||Cyanidin 3-O-rhamnosylglucoside||Keracyanin	metacyc(2)
C08621	MNXM724543		cpd05528		Dammarenediol-I	
C08622	MNXM51215		cpd05529		Dipterocarpol	
C08623	MNXM41282		cpd05530		alpha-Elemolic acid	
C08624	MNXM7344		cpd05531		Euphol	
C08625	MNXM53272		cpd05532		Fernene	
C08626	MNXM5162		cpd05533	CPD-13047	Friedelin	
C08627	MNXM11830		cpd05534		Hopane-29-acetate	
C08628	MNXM4039		cpd05535	CPD-90	Lupeol	
C08629	MNXM1368952				Cyanidin 3,5,3'-tri-O-glucoside	
C08630	MNXM106330		cpd05537		Lupeol acetate||3-Acetyllupeol	
C08631	MNXM61507		cpd05538		Messagenin	
C08632	MNXM67604		cpd05539		Papyriferic acid	
C08633	MNXM1372231				Pristimerin	
C08634	MNXM81497		cpd05541		Sapelin A	
C08635	MNXM83242		cpd05542		Taccalonolide A	
C08636	MNXM740740				Taraxasterol	
C08637	MNXM733670		cpd05544	CPD-10667	Taraxerol	
C08638	MNXM1372486				Tingenone	
C08639	MNXM1371151			CPD-7138	Cyanidin 3,5-O-diglucoside||Cyanidin 3,5-di-O-beta-D-glucoside||Cyanidin 3,5-di-O-glucoside||Cyanin	
C08640	MNXM1369779				Delphinidin 3,3',5'-tri-O-glucoside	
C08641	MNXM1371968			CPD-7965	Gentiodelphin	
C08642	MNXM1363994				Heavenly blue anthocyanin||Peonidin 3-(2-(6-(3-(glucosyl)caffeoyl)glucosyl)-6-(4-(6-(3-(glucosyl)caffeoyl)glucosyl)caffeoyl)glucoside) 5-glucoside	
C08643	MNXM1370289				Hirsutidin	
C08644	MNXM731947		cpd05551	CPD-12037	Hispidol	
C08646	MNXM1369304				6-Hydroxycyanidin	
C08647	MNXM1370305			CPD-14998	Cyanidin 3-O-galactoside||Cyanidin 3-O-beta-D-galactoside||Ideain	
C08648	MNXM57819		cpd05554	CPD-21396	Isobavachalcone	
C08649	MNXM57833		cpd05555		Isobutrin	
C08650	MNXM1106769		cpd05556	CPD-3041|Chalcones	Isoliquiritigenin	metacyc(2)
C08651	MNXM1370458		cpd05557		Leptosidin	
C08652	MNXM1372571			CPD-11945	Luteolinidin	
C08653	MNXM1371452				Malonylawobanin	
C08654	MNXM33379		cpd05560		Acetylbrowniine||Browniine 14-acetate	
C08655	MNXM40144		cpd05561		Aconifine||Aconitane-3,8,10,13,14,15-hexol, 20-ethyl-4-(methoxymethyl)-1,6,16-trimethoxy-, 8-acetate 14-benzoate, (1-alpha,3-alpha,6-alpha,14-alpha,15-alpha,16-beta)-	
C08656	MNXM1369379		cpd05562		Ajaconine	
C08657	MNXM42117		cpd05563		Anhwiedelphinine	
C08658	MNXM1369443				Anopterine	
C08659	MNXM57548		cpd05565		Inuline||Anthranoyllycoctonine	
C08660	MNXM42930		cpd05566		Atisine	
C08661	MNXM43046		cpd05567		Avadharidine||Aconitane-7,8-diol, 4-(((2-((4-amino-1,4-dioxobutyl)amino)benzoyl)oxy)methyl)-20-ethyl-1,6,14,16-tetramethoxy-, (1alpha,6beta,14alpha,16beta)-	
C08662	MNXM43318		cpd05568		Barbinine||Aconitan-14-one, 7,8-dihydroxy-20-ethyl-4-(((2-(3-methyl-2,5-dioxo-1-pyrrolidinyl)benzoyl)oxy)methyl)-1,6,16-trimethoxy-, (1-alpha,4(S),6-beta,16-beta)-	
C08663	MNXM43399		cpd05569		Beiwutine	
C08664	MNXM44272		cpd05570		Bikhaconitine	
C08665	MNXM44840		cpd05571		Browniine||Aconitane-7,8,14-triol, 20-ethyl-4-(methoxymethyl)-1,6,16-trimethoxy-, (1-alpha,6-beta,14-alpha,16-beta)-	
C08666	MNXM45341		cpd05572		Cammaconine||Columbiananine	
C08667	MNXM45655		cpd05573		Cardiopetalidine	
C08668	MNXM81882		cpd05574		Septentriodine||Cashmiradelphine	
C08669	MNXM45765		cpd05575		Cassaidine	
C08670	MNXM45766		cpd05576		Cassaine	
C08671	MNXM47568		cpd05577		Condelphine	
C08672	MNXM1369677				Cuauchichicine||Veatchine,15-deoxy-16,17-dihydro-15-oxo-, (16-beta,20S)-	
C08673	MNXM33367		cpd05579		14-Deacetylnudicauline	
C08674	MNXM48954		cpd05580		Delavaine A	
C08675	MNXM1369777				Delcorine	
C08676	MNXM48957		cpd05582		Delcosine	
C08677	MNXM48970		cpd05583		Delphinine	
C08678	MNXM48971		cpd05584		Delsoline	
C08679	MNXM48998		cpd05585		Deltaline||Aconitane-6,10-diol, 20-ethyl-4-methyl-7,8-(methylenebis(oxy))-, 1,14,16-trimethoxy-, 6-acetate, (1-alpha,6-beta,14-alpha,16-beta)-	
C08680	MNXM49059		cpd05586		Denudatine	
C08681	MNXM51902		cpd05587		Elatine||Aconitane-4-methanol, 20-ethyl-7,8-(methylenebis(oxy))-, 1,6,14,16-tetramethoxy-2-(3-methyl-2,5-dioxo-1-pyrrolidinyl)benzoate(ester), (1-alpha,6-beta,14-alpha,16-beta)-	
C08682	MNXM52560		cpd05588		Erythrophleguine	
C08683	MNXM53080		cpd05589		Falaconitine	
C08684	MNXM53365		cpd05590		Finaconitine	
C08685	MNXM1370221				Garryine	
C08686	MNXM56229		cpd05592		Heteratisine	
C08687	MNXM56265		cpd05593		Hetisine||Hetisan-2,11,13-triol	
C08688	MNXM56976		cpd05594		Hypaconitine	
C08689	MNXM57043		cpd05595		Icaceine	
C08690	MNXM57044		cpd05596		Icacine	
C08691	MNXM57278		cpd05597		Indaconitine	
C08692	MNXM58535		cpd05598		Jesaconitine	
C08693	MNXM58953		cpd05599		Karakoline||Aconitane-1,8,14-triol, 20-ethyl-16-methoxy-4-methyl-, (1-alpha,14-alpha,16-beta)-	
C08694	MNXM59749		cpd05600		Lappaconitine	
C08695	MNXM738730		cpd05601		Lindheimerine	
C08696	MNXM60693		cpd05602		Lycaconitine	
C08697	MNXM60702		cpd05603		Lycoctonine	
C08698	MNXM61473		cpd05604		Mesaconitine	
C08699	MNXM737768		cpd05605		Methyllycaconitine	
C08700	MNXM1370146				Napelline	
C08701	MNXM64929		cpd05607		Norerythrostachaldine	
C08702	MNXM65045		cpd05608		Nudicauline	
C08703	MNXM65924		cpd05609		Ovatine	
C08704	MNXM79595		cpd05610		Pseudoaconitine	
C08705	MNXM740458		cpd05611		Ryanodine||Ryania	
C08706	MNXM81883		cpd05612		Septentrionine	
C08707	MNXM1372396				Songorine||Napellonine||Zongorine	
C08708	MNXM82606		cpd05614		Spiradine A||6-Hydroxyhetisan-11-one	
C08709	MNXM82610		cpd05615		Spiramine A	
C08710	MNXM82618		cpd05616		Spirasine I	
C08711	MNXM82619		cpd05617		Spiredine	
C08712	MNXM1372408				Staphidine	
C08713	MNXM83276		cpd05619		Talatizamine	
C08716	MNXM61044		cpd05622	CPD-15051	Malvidin	
C08717	MNXM1372386		cpd05623		Silychristin	
C08718	MNXM1370520				Malvin||Malvidin-3,5-diglucoside	
C08719	MNXM82471		cpd05625		Sophoranone	
C08720	MNXM1370522		cpd05626		Maritimetin	
C08721	MNXM741156				Polysialic acid acetylated at O-9	
C08722	MNXM46060		cpd05627	CPD-7034	4,5-Methylenedioxy-6-hydroxyaurone	
C08723	MNXM1363873				Monardaein	
C08724	MNXM65423		cpd05629		Okanin	
C08725	MNXM1371950			CPD-7137	Pelargonin||Pelargonidin 3,5-di-beta-D-glucoside	
C08726	MNXM159542		cpd05631		Peonidin||3,5,7-Trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-benzopyrylium chloride	
C08727	MNXM159584		cpd05632		Petunidin||Petunidin chloride	
C08728	MNXM1372300				Riccionidin A	
C08729	MNXM1372576			CPD-15053	Rosinidin	
C08730	MNXM1372091		cpd05635	CPD-7389	Sulphuretin||Sulfuretin	
C08732	MNXM40525		cpd05637		Albafuran A||4-((2E)-3,7-Dimethyl-2,6-octadienyl)-5-(6-hydroxy-2-benzofuranyl)-1,3-benzenediol	
C08733	MNXM2637		cpd05638	CPD-7399	Ammeline||2-Hydroxy-4,6-diamino-1,3,5-triazine	
C08734	MNXM2636		cpd05639	CPD-7400	Ammelide||2,4-Dihydroxy-6-amino-1,3,5-triazine	
C08735	MNXM6104		cpd05640		2-Chloro-4-hydroxy-6-amino-1,3,5-triazine	
C08736	MNXM38631		cpd05641		6-Chloro-1,3,5-triazine-2,4(1H,3H)-dione||2-Chloro-4,6-dihydroxy-1,3,5-triazine	
C08737	MNXM5217		cpd05642	CPD-7398	Melamine||2,4,6-Triamino-1,3,5-triazine	
C08738	MNXM40530		cpd05643		Albanol A||Mulberrofuran G	
C08739	MNXM40972		cpd05644		alpha-Cotonefuran	
C08740	MNXM43791		cpd05645		beta-Cotonefuran	
C08741	MNXM48945		cpd05646		Dehydrotremetone	
C08742	MNXM34629		cpd05647		2,8-Dihydroxy-3,4,7-trimethoxydibenzofuran	
C08743	MNXM52475		cpd05648		Eriobofuran||2,4-Dimethoxydibenzofuran-3-ol	
C08744	MNXM50766		cpd05649		Dihydroeuparin||6-Hydroxytremetone	
C08745	MNXM60263		cpd05650	CPD-26619	Lithospermic acid	
C08746	MNXM40473		cpd05651		Ailanthinone	
C08747	MNXM40474		cpd05652		Ailanthone	
C08748	MNXM10763		cpd05653		Azadirachtin A||Azadirachtin	
C08749	MNXM1369548				Bruceantin	
C08750	MNXM1369550				Bruceantinol	
C08751	MNXM1369552				Bruceine B	
C08752	MNXM103295		cpd05657		Bruceine D	
C08753	MNXM44848		cpd05658		Bruceoside A	
