kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C05896	MNXM16928		cpd12795		Crosslinked peptidoglycan	
C05897	MNXM1371426				Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	
C05898	MNXM1370100				Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	
C05901	MNXM727679		cpd03498		Piceatannol||3,3',4'5-Tetrahydroxystilbene	
C05902	MNXM10060		cpd03499	CPD-14950	3-Methoxyapigenin||3-O-Methylkaempferol	
C05903	MNXM1672		cpd19040	CPD1F-90	Kaempferol||3,4',5,7-Tetrahydroxyflavone||3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one||5,7,4'-Trihydroxyflavonol||C.I. 75640||Indigo yellow||Kaempherol||Kempferol||Nimbecetin||Pelargidenolon||Populnetin||Rhamnolutein||Rhamnolutin||Robigenin||Swartziol||Trifolitin	
C05904	MNXM1369123			PELARGONIDIN-CMPD	Pelargonidin||3,4',5,7-Tetrahydroxyflavylium chloride||3,5,7-Trihydroxy-2-(4-hydroxyphenyl)benzopyrylium chloride||Pelargonidin chloride||Pelargonidol chloride	
C05905	MNXM1372542			CPD-591	Cyanidin||2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-1-benzopyrylium chloride||3,3',4',5,7-Pentahydroxy-2-phenylbenzopyrylium chloride||3,3',4',5,7-Pentahydroxyflavylium chloride||3,3',4',5,7-Pentahydroxyflavyliumchlorid||Chlorure de 3,3',4',5,7-pentahydroxyflavylium||Cyanidin chloride||Cyanidine||Cyanidol||Cyanidol chloride||IdB 1027	
C05906	MNXM727079		cpd03503	CPD-590	Leucocyanidin||2,3-trans-3,4-cis-Leucocyanidin||2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol||3,3',4,4',5,7-Flavanhexol||3,4-Cyanidiol||Leucoanthocyanidol||Leucocianidol||Leucocyanidol||Leukocyanidine||Procyanidol||Resivit	
C05907	MNXM1371616		cpd03504	CPD-11941	Luteoforol||3-Deoxyleucocyanidin	
C05908	MNXM1369088			CPD-7090	Delphinidin||3,3',4',5,5',7-Hexahydroxy-2-phenylbenzopyrylium chloride||3,3',4',5,5',7-Hexahydroxyflavylium chloride||3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)benzopyrylium chloride||3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)benzopyryliumchlorid||Chlorure de 3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)benzopyrylium||Delfinidol chloride||Delphinidin chloride||Delphinidine||Delphinidol||Ephdine||IdB 1056	
C05909	MNXM3639		cpd03506	CPD-7088	Leucodelphinidin	
C05911	MNXM739729		cpd03507	CPD-7214	Pentahydroxyflavanone||Dihydrotricetin	
C05912	MNXM733864		cpd03508	3Z-PHYCOERYTHROBILIN	(3Z)-Phycoerythrobilin	
C05913	MNXM733867		cpd03509	3Z-PHYTOCHROMOBILIN	(3Z)-Phytochromobilin	
C05914	MNXM735299				Bathorhodopsin	
C05915	MNXM735300				Lumirhodopsin	
C05916	MNXM735301				Metarhodopsin	
C05917	MNXM734356				Iodopsin	
C05918	MNXM738227		cpd03514		all-trans-Dehydroretinal||(all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-2,4,6,8-nonatetraenal||3,4-Didehydroretinal||3-Dehydroretinal||3-Dehydroretinaldehyde||Dehydroretinal||Dehydroretinaldehyd||Dehydroretinaldehyde||Retinene 2||Vitamin A2 aldehyde||all-trans-3,4-Dehydroretinal||all-trans-3-Dehydroretinal||alpha-Retinene||trans-3-Dehydroretinal	
C05919	MNXM33105		cpd03515	CPD-14330	11-cis-Dehydroretinal	
C05920	MNXM7690		cpd03516		Porphyropsin	
C05921	MNXM1104306	btamp	cpd03517|cpd22432	BIO-5-AMP	Biotinyl-5'-AMP	seed(2)
C05922	MNXM1103590	HC01651	cpd03518		Formamidopyrimidine nucleoside triphosphate	
C05923	MNXM1102965	HC01652	cpd03519		2,5-Diaminopyrimidine nucleoside triphosphate	
C05924	MNXM1365590	mpt		CPD-4	Molybdopterin||H2Dtpp-mP||Pyranopterin	
C05925	MNXM1364433			DIHYDRONEOPTERIN-P	Dihydroneopterin phosphate||2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine phosphate||7,8-Dihydroneopterin 3'-phosphate	
C05926	MNXM737038		cpd03522	CPD-15305	Neopterin||6-(D-erythro-1,2,3-Trihydroxypropyl)pterin||6-D-erythro-Neopterin||D-Neopterin||D-erythro-Neopterin||[S-(R*,S*)]-2-Amino-6-(1,2,3-trihydroxypropyl)-1H-pteridin-4-on||[S-(R*,S*)]-2-Amino-6-(1,2,3-trihydroxypropyl)-1H-pteridin-4-one||[S-(R*,S*)]-2-Amino-6-(1,2,3-trihydroxypropyl)-1H-pteridine-4-one	
C05927	MNXM3586	h2mpt	cpd03523	CPD-10789	7,8-Dihydromethanopterin	
C05928	MNXM33047		cpd03524	CPD-17115	(6R)-10-Formyltetrahydropteroyldiglutamate||(6R)-10-HCO-H4PteGlu2||10-Formyl-THF-L-glutamate	
C05929	MNXM8002				10-Formyltetrahydrofolylpolyglutamate||10-Formyl-THF-polyglutamate	
C05931	MNXM1757	sucglu	cpd03525	N2-SUCCINYLGLUTAMATE	N-Succinyl-L-glutamate||(2S)-2-(3-Carboxypropanoylamino)pentanedioic acid	
C05932	MNXM1763	sucgsa	cpd03526	CPD-822	N-Succinyl-L-glutamate 5-semialdehyde||(2S)-2-(3-Carboxypropanoylamino)-5-oxopentanoic acid	
